date,date_certainty,event,source,citation,category,source_is_brief_only
2006-00-00,NOT ESTABLISHED,Kaweah ARM (2006) — NO DOCUMENT IN RECORD,No source,No responsive document located,gap,FALSE
2006-12-31,exact,"FY2006 withdrawals: Manuel $52,212 / Steve $26,378; net LOSS $(114,303)",Reviewed financial statement,"Equity Accounts 1997-2015.pdf, FY2006 stmt",financial,FALSE
2007-12-31,exact,"FY2007 withdrawals: Manuel $234,832 / Steve $78,895",Reviewed financial statement,"Equity Accounts 1997-2015.pdf, FY2007 stmt",financial,FALSE
2008-11-03,exact,"Hazel J. Leal Revocable Trust dated November 3, 2008 established",Pleading caption,998 offer FINAL.pdf (11VQh2jHIMvTnhVQr2bcIVZjoXcwrudYB) caption; Mediation Brief (1bAo0s_6EL-Jc60VPzOCoCNDwlkiqDkzO) caption,estate,FALSE
2008-12-31,exact,"FY2008 withdrawals: Manuel $112,486 / Steve $29,446; net LOSS $(325,002)",Reviewed financial statement,"Equity Accounts 1997-2015.pdf, FY2008 stmt",financial,FALSE
2009-05-13,exact,"Steve and Marla Leal Living Trust dated May 13, 2009 established SUPPLEMENT (valuations sweep): the executed S&M Trust's Schedule A claims 'an undivided fifty percent (50%) interest' in the Partnership — vs 25% under the 1983 agreement and 30%+25% after the 2016 First Amendment (A-50).",Mediation brief,Mediation Brief p.2,estate,TRUE
2009-09-30,exact (recorded instrument),"Statement of Partnership RECORDED, Tulare County (8:01 AM): partners declared as the Manuel C. Leal Living Trust, the Hazel J. Leal Revocable Trust, and Steve & Marla Leal Living Trust co-trustees — 'The partners named above are all of the partners'; 'Any conveyance of real property held in the name of the Partnership shall be executed by all Partners.' Executed 5/13/2009; verifications Aug-Sep 2009. THE TRUSTS ARE THE RECORDED PARTNERS FROM 2009 — central to the Han v. Hallberg analysis.",Recorded Statement of Partnership (bound in Partnership_Agreement.pdf scan pp.22-27),Drive 1s8TjF_blUghM1e-UdAHTUf6PuaDjCf8-; extract 01-verified-facts/drive-sweep/valuations-instruments-sweep.md sec.10B,governance,FALSE
2009-12-31,exact,"FY2009 withdrawals: Manuel $97,869 / Steve $28,033; net LOSS $(103,937)",Reviewed financial statement,"Equity Accounts 1997-2015.pdf, FY2009 stmt",financial,FALSE
2010-12-31,exact,"FY2010 withdrawals: Manuel $50,119 / Steve $38,776",Reviewed financial statement,"Equity Accounts 1997-2015.pdf, FY2010 stmt",financial,FALSE
2011-02-23,as-recited (internal draft; unverified),"Promissory Note $1,125,000.00 executed in favor of Mary Jane Orozco (Heifer Ranch purchase; Chicago Title Escrow No. 11-42705244-FM); per the recital, signed personally by Hazel J. Leal as Trustee of the Hazel J. Leal Revocable Trust; all principal and interest due 15 years from close of escrow (2026 balloon). RECITED ONLY in our 5/18/2026 draft letter — underlying note NOT located. See OI-46. CORROBORATION (tax/banking sweep): partnership records independently show the liability — 'HEIFER RANCH 963,000' in loan balances 7.30.17.xlsx and QB 'N/P Rodrigues Ranch' $852,432.37 at 12/31/2020 (Rodrigues Ranch = heifer ranch, QB cost $1,275,274, 2011); the note itself remains unlocated (Rodrigues/Orozco PDFs on Drive are unreadable scans — OI-50).",Internal draft letter (recital),"'Formal Cover Letter (Updated)' 5/18/2026, Drive 1_PVcJQTx2bC53F4LklER7tN83_k7lSovwJk5AoHXevA; extract in 01-verified-facts/drive-sweep/drafts-proposals-sweep.md",financial,FALSE
2011-03-01,as-recited (internal draft; unverified),"First Deed of Trust (Orozco) recorded, Tulare County Doc. No. 2011-0012002, securing the $1,125,000 note. RECITED ONLY in our 5/18/2026 draft letter — recorded instrument NOT pulled. See OI-46.",Internal draft letter (recital),Same source as 2011-02-23 entry; extract in 01-verified-facts/drive-sweep/drafts-proposals-sweep.md,financial,FALSE
2011-12-31,exact,"FY2011 withdrawals: Manuel $41,507 / Steve $42,119 — STEVE DREW $612 MORE (ADVERSE)",Reviewed financial statement,"Equity Accounts 1997-2015.pdf, FY2011 stmt",financial-adverse,FALSE
2012-12-31,exact,"FY2012 withdrawals: Manuel $58,574 / Steve $51,460; capital contribution $126,028 (Steve $125,987). FY2012 net income restated: $297,871 vs $338,244 across statements.",Reviewed financial statement,"Equity Accounts 1997-2015.pdf, FY2012/2011 and FY2013/2012 stmts",financial,FALSE
2013-01-01,exact,"Prior period adjustment $(62,026) booked at 1/1/2013 (Note 5)",Reviewed financial statement,"Equity Accounts 1997-2015.pdf, FY2014/2013 stmt",financial,FALSE
2013-12-31,exact,"FY2013 withdrawals: Manuel $114,045 / Steve $61,624. 12/31/2013 balance restated $4,074,922 -> $4,029,406.",Reviewed financial statement,"Equity Accounts 1997-2015.pdf, FY2014/2013 and FY2013/2012 stmts",financial,FALSE
2014-12-31,exact,"FY2014 restated downward $10,478: balance $5,002,937 -> $4,992,459; net income $1,220,163 -> $1,209,685",Reviewed financial statement,"Equity Accounts 1997-2015.pdf, FY2015/2014 vs FY2014/2013 stmts",financial-adverse,FALSE
2014-12-31,exact,"FY2014 withdrawals: Manuel $110,081 / Steve $167,503 — STEVE DREW $57,422 MORE (ADVERSE). Steve 'Personal' $120,155 vs Manuel 'Personal' $7,333.",Reviewed financial statement,"Equity Accounts 1997-2015.pdf, FY2015/2014 stmt",financial-adverse,FALSE
2015-01-01,range,"Partnership-paid personal expenses schedule begins (through 12/6/2017): Hazel $66,072.53 / Steve $49,122.05 / Jace-Jordan $21,304.82 / Misc $12,915.95. CONTAINS EXPRESS ESTIMATES.",Internal schedule,STEVE.HAZEL PERSONAL EXPENSES.xlsx (1o5Re3q_6wZTRu_Mhh4yrtNqVrgFuKmBo) Sheet2,financial-adverse,FALSE
2015-01-01,range,"Shell Beach CARRYING COSTS paid by partnership, booked to Hazel (gardener, PG&E, South County Sanitary, San Luis Obispo property taxes, insurance). NO REMODEL OR CONSTRUCTION RECORD EXISTS.",Internal schedule,STEVE.HAZEL PERSONAL EXPENSES.xlsx Sheet2,financial,FALSE
2015-03-25,exact,MANUEL C. LEAL DATE OF DEATH — CONFIRMED BY EXECUTED INSTRUMENT. Hazel and Steve became successor Co-Trustees of the Manuel C. Leal Living Trust. Hazel entitled to all Bypass Trust account income MONTHLY from this date.,"Settlement Agreement Recital F, para 5","Settlement Agreement and Mutual Release, eff. 12/7/2017 (Ex. A to defendants' mediation brief, Drive 1BD14JDeC0VTQGemgiFgWkjmDG-kmo7ly), Recital F and para 5",estate,FALSE
2015-03-25,exact,Partnership capital transfer 'to Steve/Bypass Trust 3/25/15'. FY2015 is split at this date in the capital reconciliation. CONSISTENT WITH but NOT STATING Manuel C. Leal's date of death — no death certificate in record.,Draft reconciliation + reviewed stmts,"Capital Analysis 8-3-2017 pp.3, 6 [DRAFT]",estate,FALSE
2015-12-31,exact,"FY2015 withdrawals total $217,344 (Manuel $135,391 / Steve $81,953); capital contribution $346,052; 12/31/2015 total capital $5,478,612",Reviewed financial statement,"Equity Accounts 1997-2015.pdf, FY2015/2014 stmt",financial,FALSE
2016-00-00,NOT ESTABLISHED,"2016 gift deed — NO DOCUMENT IN RECORD. (A 'recorded Correction Grant Deed' is referenced in a 2017.08.08 letter to R. Esraelian, Drive 1Doyn_ceE6_xSv7dxpaaR3yrUGBZnD_La — NOT REVIEWED; relationship to any 2016 gift deed unverified.)",No source / unreviewed,No responsive document reviewed,gap,FALSE
2016-00-00,NOT ESTABLISHED,Xavier's PRIOR appraisal (2017 dispute) discounted minority interests between 20% and 30% depending on property characteristics. Our stated discount positions differ across documents: Complaint 20-30%; March 2025 offer 30%; July 2026 letter 25%; defendants' June 2025 counteroffer 15%.,Complaint,"Complaint (Ex. E to defendants' mediation brief, Drive 1BD14JDeC0VTQGemgiFgWkjmDG-kmo7ly), para 17",valuation,FALSE
2016-09-29,"exact (instrument date; signatures 'September __, 2016')",First Amendment to Partnership Agreement: partnership interests acknowledged as Hazel J. Leal Revocable Trust 37.5% / STEVE M. LEAL individually 30% / Steve & Marla Leal Living Trust 25% / Manuel C. Leal Bypass Trust 7.5% ('55% Steve' exists only as an aggregate). Recites Manuel died 3/25/2015 and his interest passed via his trust. Assignment-acknowledgment only — no new buyout/accounting terms. Drafted by Griswold LaSalle. Same date: Certification of the Bypass Trust (Hazel notarized by ROBYN L. ESRAELIAN 9/10/2016).,Executed First Amendment (2016.09.29 packet),Drive 11Q14ztzo47P4KmapKRXY3FSq1_B4Vbt4; extract 01-verified-facts/drive-sweep/valuations-instruments-sweep.md sec.9; certification sec.16,governance,FALSE
2016-12-31,exact,"FY2016 withdrawals: Manuel/Hazel $213,592 / Steve $83,626; net LOSS $(214,285)",Draft reconciliation,Capital Analysis 8-3-2017 p.3 [DRAFT],financial,FALSE
2017-03-22,exact (letter date),"Jace Leal 'adjust letter' to Aaron [Garabedian], RE Partnership Capital Accounts (pre-Settlement): proposes crediting Hazel an additional 12.5% of profits from 1997 and 12.5% of land equity; reconciles capital to Hazel 37.5%/Steve 55%; theorizes the $212,035 note's 9% interest ($19,083/yr) was drawn against Steve's capital and principal 'transferred on paper' by 1997; states 1994-96 financials unavailable. A second undated version (Drive metadata Jan 2024) reconciles to 62.5%. PRE-SETTLEMENT NEGOTIATION DOCUMENT — release-scope analysis required before characterizing (A-49).",Steve.Hazel adjust letter to aaron.docx,Drive 1JhY8tTN3QRUIHfio7y7SYGxkEoiqSdsU (+ twin 1Oqs1OafCkUSyUNx8TQIgkolo7JGUWFQZ); extract 01-verified-facts/drive-sweep/valuations-instruments-sweep.md secs.18-19,financial,FALSE
2017-08-03,exact,Capital Analysis prepared — 'DRAFT - FOR INTERNAL DISCUSSION PURPOSES ONLY'; presents both 50/50 and 75/25 profit-split scenarios,Internal draft,Manuel Leal & Son Dairy Capital Analysis 8-3-2017 (1L357_kNU9uk4pZFm2K0LuajeckXW2GOg),financial,FALSE
2017-12-07,exact,"Settlement Agreement and Mutual Release executed among Steve's Trust, Manuel's Trust, Hazel's Trust, and Plaintiff individually",Mediation brief,Mediation Brief p.2 (Exhibit A referenced; EXHIBIT NOT LOCATED),litigation,TRUE
2017-12-07,exact,"Settlement Agreement para 11/11(a): capital expenses >= $100,000 need both partners' approval; no loans to any partner and no borrowing without all partners' approval; Steve may draw on an established credit line up to $100,000 per 30-day period without approval. Hazel's approval not to be unreasonably withheld, decision within 10 days.",Settlement Agreement para 11,"Settlement Agreement and Mutual Release, eff. 12/7/2017 (Ex. A to defendants' mediation brief, Drive 1BD14JDeC0VTQGemgiFgWkjmDG-kmo7ly), para 11 and 11(a)",litigation-adverse,FALSE
2017-12-07,exact,Settlement Agreement para 13/15: RELEASE IS NARROW — releases only claims relating to 'the division of the real property'; para 15 states 'the only issues resolved by this Settlement Agreement is the division of identified real property and the valuation of the improvements identified in the Agreement.' Accounting/fiduciary claims appear NOT released.,"Settlement Agreement para 13, 15","Settlement Agreement and Mutual Release, eff. 12/7/2017 (Ex. A to defendants' mediation brief, Drive 1BD14JDeC0VTQGemgiFgWkjmDG-kmo7ly), para 13 and 15",litigation-adverse,FALSE
2017-12-07,exact,Settlement Agreement para 21/25: enforceable under CCP 664.6 in Tulare County Superior Court; each party bears own fees EXCEPT attorneys' fees incurred in ENFORCEMENT of the Agreement.,"Settlement Agreement para 21, 25","Settlement Agreement and Mutual Release, eff. 12/7/2017 (Ex. A to defendants' mediation brief, Drive 1BD14JDeC0VTQGemgiFgWkjmDG-kmo7ly), para 21 and 25",litigation,FALSE
2017-12-07,exact,"Settlement Agreement para 2: real property owned 37.5% Hazel/Hazel's Trust, 37.5% Manuel C. Leal Bypass Trust, 25% Steve and Marla.",Settlement Agreement para 2,"Settlement Agreement and Mutual Release, eff. 12/7/2017 (Ex. A to defendants' mediation brief, Drive 1BD14JDeC0VTQGemgiFgWkjmDG-kmo7ly), para 2",litigation,FALSE
2017-12-07,exact,"Settlement Agreement para 4 + Property Schedule: 311 Capistrano Ave., Pismo CA 93449, APN 010-252-077 (2,700 sf) owned 50% Hazel J. Leal Revocable Trust / 50% Susan Leal. THIS IS THE SHELL BEACH PROPERTY. Partnership holds NO interest.",Settlement Agreement para 4 + Ex. A Property Schedule,"Settlement Agreement and Mutual Release, eff. 12/7/2017 (Ex. A to defendants' mediation brief, Drive 1BD14JDeC0VTQGemgiFgWkjmDG-kmo7ly), para 4 and Exhibit A Property Schedule",financial,FALSE
2017-12-07,exact,Settlement Agreement para 8: PARTNERSHIP MUST PROVIDE HAZEL A MONTHLY ACCOUNTING BY THE 15th; respond to her questions by the 25th. Runs from execution to Hazel's death 9/23/2022 (~58 months). No evidence of compliance located.,Settlement Agreement para 8,"Settlement Agreement and Mutual Release, eff. 12/7/2017 (Ex. A to defendants' mediation brief, Drive 1BD14JDeC0VTQGemgiFgWkjmDG-kmo7ly), para 8",litigation-adverse,FALSE
2018-01-03,exact,"DEFECT: The proof of service bound into the 998 offer recites service and execution on JANUARY 3, 2018 — more than eight years before the July 2026 cover letter. Signed Georgia Davidson. Envelope address block contains NO STREET ADDRESS.",Document,"998 offer FINAL.pdf, Proof of Service page",litigation-adverse,FALSE
2018-06-00,month-only,Amended Partnership Agreement of Manuel C. Leal & Son Dairy entered; Art. XIII Sec. J — partnership to purchase Hazel's interest at 90% of appraised value including discounts,Mediation brief,"Mediation Brief pp.3, 6 (Exhibit C referenced; EXHIBIT NOT LOCATED)",litigation,TRUE
2018-06-00,exact,Partnership Agreement Art. I.B fixes the interests: MANUEL C. LEAL BYPASS TRUST 7.5%; STEVE M. LEAL 30%; HAZEL J. LEAL REVOCABLE TRUST 37.5%; STEVE AND MARLA LEAL LIVING TRUST 25%. Steve's side = 55%. RESOLVES THE POST-2018 ALLOCATION QUESTION.,Partnership Agreement,"Amended and Restated Partnership Agreement (Ex. C to defendants' mediation brief, Drive 1BD14JDeC0VTQGemgiFgWkjmDG-kmo7ly), Art. I.B",financial,FALSE
2018-06-00,exact,"Partnership Agreement Art. VI.E: a DEBIT balance in a Partner's Drawing Account, 'whether occasioned by drawings in excess of his share of Partnership profits,' is 'a liability of that Partner to the Partnership' and 'shall NOT reduce his interest in the capital of the Partnership.' EXPLAINS why Hazel's capital account stayed positive while excess distributions accrued, and confirms the Complaint's 'negative capital account' label is wrong.",Partnership Agreement,"Amended and Restated Partnership Agreement (Ex. C to defendants' mediation brief, Drive 1BD14JDeC0VTQGemgiFgWkjmDG-kmo7ly), Art. VI.E",financial,FALSE
2018-06-00,exact,"Partnership Agreement Art. XIII.B.1 EXPRESSLY DEFINES HAZEL'S DEATH AS A 'DISSOCIATING EVENT' and provides 'the Partnership shall purchase her Partnership Interest.' Art. XIII.B.2: on Hazel's death the Partnership continues, purchases at 90% of appraised value, 10% down, note amortized 20 years at 4% interest, due in 10 years. Art. XIII.D: on the death of STEVE or MARLA their interests pass by will/trust and are NOT subject to any buyout — a deliberate asymmetry.",Partnership Agreement,"Amended and Restated Partnership Agreement (Ex. C to defendants' mediation brief, Drive 1BD14JDeC0VTQGemgiFgWkjmDG-kmo7ly), Art. XIII.B.1, B.2, D",litigation,FALSE
2018-06-00,month-only,"TIC Agreement para 1(b): Partnership agrees to pay ALL expenses related to the TIC property (repairs, maintenance, taxes) in exchange for farming use. NOTE: TIC property is Tulare County only — does NOT cover the Pismo/Shell Beach parcel.",TIC Agreement para 1(b),"Tenants-in-Common Agreement (Ex. B to defendants' mediation brief), para 1(b)",financial,FALSE
2018-06-00,month-only,"TIC Agreement para 11 AND Partnership Agreement Art. XIII sec. J: THREE-APPRAISER FALLBACK — jointly appointed appraiser's written decision is binding and conclusive; if no agreement within 30 days of the triggering event, each side appoints one appraiser within 15 days; if those two cannot agree on value within 30 days they appoint a third; decision of any two of three binds. Costs of joint appraisers split equally; unilateral appraisers borne by the appointing party.",TIC para 11; Partnership Art. XIII sec. J,Tenants-in-Common Agreement (Ex. B) para 11; Amended Partnership Agreement (Ex. C) Art. XIII sec. J,litigation,FALSE
2018-06-00,month-only,"TIC Agreement para 2: STEVE M. LEAL is the initial Manager, uncompensated, responsible for maintenance of the books and records of the Property and for taxes and insurance. Para 3: all Owners waive any right to partition.","TIC Agreement para 2, 3","Tenants-in-Common Agreement (Ex. B), para 2 and 3",litigation-adverse,FALSE
2018-06-00,month-only,Tenants in Common Agreement entered; buyout at 90% of appraised value including discounts identified by appraiser; Sec. 11 requires jointly appointed appraiser whose decision is binding,Mediation brief,Mediation Brief pp.3-4 (Exhibit B referenced; EXHIBIT NOT LOCATED),litigation,TRUE
2018-06-07,exact,"DEADLINE (computed): Steve and Marla to pay Hazel $350,000 on the 1983 Note, 'on or before six (6) months from December 7, 2017.' PAYMENT STATUS NOT ESTABLISHED. Defendants assert the Note was not repaid.",Settlement Agreement para 6,"Settlement Agreement and Mutual Release, eff. 12/7/2017 (Ex. A to defendants' mediation brief, Drive 1BD14JDeC0VTQGemgiFgWkjmDG-kmo7ly), para 6",computed-deadline,FALSE
2018-07-26,exact,"EXECUTED Amended and Restated Partnership Agreement received by Griswold, LaSalle, Cobb, Dowd & Gin (receipt stamp). Signed by Steve (3 capacities), Hazel (2 capacities), and Marla; date line 'June __, 2018' left blank. Executed copy confirms Art. XIII verbatim and adds: Art. VI.B (Hazel's guaranteed care payments; purchase price reduced by her negative capital account; equalization draws), Art. IX.A.2 (majority vote for $100k+ capital expenses), Art. III (outside business opportunities permitted absent unanimous vote), Art. VII.D (annual audit, requester pays if clean), Art. V.A (pro-rata simultaneous distributions).",Executed agreement (client upload),"Leal_2018.07.24_Amended_and_Restated_Partnership_Agmt.pdf, signature pages and receipt stamp (client upload 8/18/2026)",litigation,FALSE
2018-10-31,month (from FCW 2018 annual statement),"Post-Settlement covenant datapoint: combined Farm Credit line draws in October 2018 total ~$400,000 in one month (Feed 10/1 $256,414.20 + Cow 10/1 $43,585.80 + 10/10 $100,000) — versus Settlement para. 11(a)'s $100,000/30-day cap. See adverse analysis A-41 (cuts against our side; defenses to assemble).",FCW 2018 annual statement,Drive 16ajAdlPwHuX7BZZ3NW_bOh5ASPn12mk4; detail in 01-verified-facts/drive-sweep/financials-tax-banking-sweep.md sec.4,financial,FALSE
2019-08-31,month (from FCW 2019 annual statement),"Post-Settlement covenant datapoint: combined Farm Credit draws in August 2019 ~$250,000 (Feed monthly top-up ~$81k + Cow 8/9 $150,000). Feed line drawn to a hard $1,000,000 ceiling through 2018-2019. See A-41.",FCW 2019 annual statement,Drive 1tG3_IHjiZbtPOmi9b5i7MqhbbsXOPwSf; detail in 01-verified-facts/drive-sweep/financials-tax-banking-sweep.md sec.4,financial,FALSE
2020-05-12,exact,"SBA EIDL loan $150,000 (3.75%, 30-yr) to the Partnership, signed 'Steve Leal, Owner/Officer' ALONE, granting a blanket UCC lien on ALL partnership personal property. No Trust-side signature. Covenant analysis required (Settlement para. 11(a) vs disaster-relief context) — A-41.",SBA EIDL loan documents,Drive folder 1XnyhV8eM2LBWOiEJQAw1F6GHJinKmHCb (Citizens statements folder); 01-verified-facts/drive-sweep/financials-tax-banking-sweep.md sec.5,financial,FALSE
2021-05-18,exact (first draw of the pattern),"Farm Credit draw pattern SHIFTS: from May 2021 onward, single $100,000 draw roughly once per month (5/18, 6/25, 7/26, 8/5, 9/15, 10/28, 11/24, 12/7/2021), no month over $100k after April 2021 — matching Settlement para. 11(a)'s cap. Examinable both ways: compliance awareness or structuring. A-41.",FCW 2021 annual statement,Drive 15I1sctPf-O8Ik5mdINeGwSmBiArdvWb1; 01-verified-facts/drive-sweep/financials-tax-banking-sweep.md sec.4,financial,FALSE
2022-08-30,exact,"KEY EMAIL — 24 DAYS BEFORE HAZEL'S DEATH. Robyn Esraelian to Jace Leal and Lauren Garabedian Ruff (tgg-cpa.com), cc Susan Leal, 'RE: Hazel - Dairy Profit Distribution': 'Lauren and I have reviewed this and agree with YOUR calculation of the profit due to Hazel personally and to Hazel as beneficiary of the Bypass Trust, for the period 2015-2021 in the amount of $850,894.54.' BUT the same email directs that distribution be made ON AN ANNUAL BASIS, capped at (1) Hazel's basis in the partnership 'taking into account distributions for her medical and care expenses' and (2) the Bypass Trust's basis, coordinated with Mike Edwards (Frazer) to avoid capital gains tax. So: amount agreed (computed by OUR side); payment schedule prescribed by THEIR counsel as multi-year and basis-capped; Hazel died 9/23/2022 before it could run.",Email (client-provided screenshot),"Email, R. Esraelian to J. Leal & L. Garabedian Ruff, cc S. Leal, 8/30/2022 9:00 AM PDT, 'RE: Hazel - Dairy Profit Distribution' — transcribed from client screenshot 8/18/2026; NATIVE EMAIL AND FULL THREAD TO BE PULLED (mailbox search shows 133 results)",financial,FALSE
2022-09-23,exact,HAZEL J. LEAL DATE OF DEATH. Defendants become Successor Co-Trustees. THIS IS THE VALUATION DATE for both buyout formulas and for the 998 offer. NO DEATH CERTIFICATE IN RECORD.,Mediation brief,Mediation Brief p.3,estate,TRUE
2022-10-23,computed,COMPUTED: 30 days after Hazel's death — outside date under TIC para 11 / Partnership Art. XIII sec. J to agree on a single appraiser before the each-side-appoints-one fallback is triggered. NEITHER SIDE INVOKED THE MECHANISM.,Computation,Derived from TIC para 11 / Art. XIII sec. J and DOD 9/23/2022,computed-deadline,FALSE
2022-10-31,exact,"Plaintiff's counsel emails defendants' then-counsel Robyn Esraelian re representation, closing Manuel's Trust, and exercise of purchase option",Mediation brief,Mediation Brief p.3,litigation,TRUE
2022-12-31,tax-year (2022 Form 1065),"2022 partnership return: FINAL K-1s issued to Hazel individually (37.5 to 0) and the Manuel C. Leal Bypass Trust (7.5 to 0); NEW K-1 opens for Hazel J Leal Revocable Trust UDT 11/3/2008 (EIN 88-6746852) at 37.5% with $93,988 income, $11,172 distributions, $1,841,569 recourse-liability share; Steve 55 to 62.5. THE key post-death-status document — see post-death-profits-issue.md sec.12, A-40.",2022 Form 1065 + K-1s,Drive 1NYjpL9xYDMFXyHoNDy3IHkmgkUQc9dEa; K-1 table in 01-verified-facts/drive-sweep/financials-tax-banking-sweep.md sec.2,financial,FALSE
2023-01-01,exact,"NOTE 8: 'In 2022, Hazel Leal passed away and the Manuel Leal Bypass Trust was dissolved. On January 1, 2023, the partnership interest of the Manuel Leal Bypass Trust was transferred to Steve Leal.' $821,249 of capital moves from the Bypass Trust column to Steve's. Bypass column reads $0 thereafter. Defendants not shown to have been notified.",Reviewed financial statement,"Manuel Leal & Son Dairy, FY2024/2023 Statements, Frazer LLP review report 2/18/2025 (Drive 1cqN3Cp2t9pMFiql2mXOYYZFZTxsSVZRm), Note 8",financial-adverse,FALSE
2023-01-04,exact,Robyn Esraelian (defendants' counsel) opens contact with Brandon Ormonde re the Manuel Leal Trust.,Email exhibit,"Complaint Exhibits (bound into defendants' mediation brief, Drive 1BD14JDeC0VTQGemgiFgWkjmDG-kmo7ly), Ex. F thread",litigation,FALSE
2023-02-03,exact,Counsel phone call — parties agree to use William Reddington for Partnership appraisal,Mediation brief,Mediation Brief p.6,litigation,TRUE
2023-02-06,exact,Defendants' counsel emails William Reddington confirming engagement,Mediation brief,Mediation Brief pp.6-7 (Exhibit H; NOT LOCATED),litigation,TRUE
